PLAYER,TEAM,POS,AGE,GP,GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Int,Rushing_Att,Rushing_Yds,Y/A,Rushing_TD,Tgt,Rec,Reception_Yds,Y/R,Rec_TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jeremy Maclin,PHI,WR,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,122.0,69.0,857.0,12.42,7.0,,,126.0,195.0,198.7,160.2,7.0,26.0,70.0
Jermaine Gresham,CIN,TE,24.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,94.0,64.0,737.0,11.52,5.0,,,102.0,166.0,169.7,133.7,6.0,11.0,71.0
Justin Blackmon,JAX,WR,22.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,11.5,0.0,132.0,64.0,865.0,13.52,5.0,1.0,,121.0,185.0,187.8,152.8,2.0,27.0,72.0
Jordy Nelson,GNB,WR,27.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,73.0,49.0,745.0,15.2,7.0,1.0,,119.0,168.0,170.5,143.0,,28.0,73.0
Andy Dalton,CIN,QB,25.0,16.0,16.0,329.0,528.0,3669.0,27.0,16.0,47.0,120.0,2.55,4.0,0.0,0.0,0.0,,0.0,,,251.0,251.0,276.8,266.8,,12.0,74.0
Tyler Clutts,HOU,,28.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,7.0,75.0
DeAngelo Williams,CAR,RB,29.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,173.0,737.0,4.26,5.0,20.0,13.0,187.0,14.38,2.0,,,130.0,143.0,151.4,136.9,,24.0,76.0
Antonio Gates,SDG,TE,32.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,80.0,49.0,538.0,10.98,7.0,,,96.0,145.0,147.8,120.3,,12.0,77.0
Richie Brockel,CAR,,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,,,,,,,,2.0,78.0
Josh Freeman,TAM,QB,24.0,16.0,16.0,306.0,558.0,4065.0,27.0,17.0,39.0,139.0,3.56,0.0,0.0,0.0,0.0,,0.0,,1.0,249.0,249.0,273.5,265.5,,13.0,
Joe Flacco,BAL,QB,27.0,16.0,16.0,317.0,531.0,3817.0,22.0,10.0,32.0,22.0,0.69,3.0,0.0,0.0,0.0,,0.0,,1.0,235.0,235.0,251.9,244.9,,14.0,
Eli Manning,NYG,QB,31.0,16.0,16.0,321.0,536.0,3948.0,26.0,15.0,20.0,30.0,1.5,0.0,0.0,0.0,0.0,,0.0,,,233.0,233.0,251.9,247.9,,15.0,
Sam Bradford,STL,QB,25.0,16.0,16.0,328.0,551.0,3702.0,21.0,13.0,36.0,124.0,3.44,1.0,0.0,0.0,0.0,,0.0,,4.0,230.0,230.0,250.5,243.5,,16.0,
Matt Schaub,HOU,QB,31.0,16.0,16.0,350.0,544.0,4008.0,22.0,12.0,21.0,-9.0,-0.43,0.0,1.0,1.0,-6.0,-6.0,0.0,,1.0,225.0,226.0,240.8,237.3,,17.0,
Carson Palmer,OAK,QB,33.0,15.0,15.0,345.0,565.0,4018.0,22.0,14.0,18.0,36.0,2.0,1.0,0.0,0.0,0.0,,0.0,,2.0,224.0,224.0,246.3,238.3,,18.0,
Ben Roethlisberger,PIT,QB,30.0,13.0,13.0,284.0,449.0,3265.0,26.0,8.0,26.0,92.0,3.54,0.0,0.0,0.0,0.0,,0.0,,1.0,224.0,224.0,237.8,231.8,,19.0,
Ryan Fitzpatrick,BUF,QB,30.0,16.0,16.0,306.0,505.0,3400.0,24.0,16.0,48.0,197.0,4.1,1.0,0.0,0.0,0.0,,0.0,,,214.0,214.0,241.7,229.7,,20.0,
Philip Rivers,SDG,QB,31.0,16.0,16.0,338.0,527.0,3606.0,26.0,15.0,27.0,40.0,1.48,0.0,1.0,0.0,0.0,,0.0,,,208.0,208.0,233.2,223.2,,21.0,
Christian Ponder,MIN,QB,24.0,16.0,16.0,300.0,483.0,2935.0,18.0,12.0,60.0,253.0,4.22,2.0,1.0,1.0,-15.0,-15.0,0.0,,1.0,193.0,194.0,217.2,205.7,,22.0,
Jay Cutler,CHI,QB,29.0,15.0,15.0,255.0,434.0,3033.0,19.0,14.0,41.0,233.0,5.68,0.0,0.0,0.0,0.0,,0.0,,,185.0,185.0,208.6,198.6,,23.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Tannehill,MIA,QB,24.0,16.0,16.0,282.0,484.0,3294.0,12.0,13.0,49.0,211.0,4.31,2.0,0.0,0.0,0.0,,0.0,,2.0,183.0,183.0,205.9,195.9,,24.0,
Colin Kaepernick,SFO,QB,25.0,13.0,7.0,136.0,218.0,1814.0,10.0,3.0,63.0,415.0,6.59,5.0,0.0,0.0,0.0,,0.0,,,174.0,174.0,185.1,177.1,,25.0,
Brandon Weeden,CLE,QB,29.0,15.0,15.0,297.0,517.0,3385.0,14.0,17.0,27.0,111.0,4.11,0.0,1.0,0.0,-9.0,,0.0,,,166.0,166.0,189.6,182.6,,26.0,
Michael Vick,PHI,QB,32.0,10.0,10.0,204.0,351.0,2362.0,12.0,10.0,62.0,332.0,5.35,1.0,0.0,0.0,0.0,,0.0,,,152.0,152.0,172.7,161.7,,27.0,
Jake Locker,TEN,QB,24.0,11.0,11.0,177.0,314.0,2176.0,10.0,11.0,41.0,291.0,7.1,1.0,1.0,0.0,0.0,,0.0,,,132.0,132.0,153.1,143.1,,28.0,
Alex Smith,SFO,QB,28.0,10.0,9.0,153.0,218.0,1737.0,13.0,5.0,31.0,132.0,4.26,0.0,0.0,0.0,0.0,,0.0,,,123.0,123.0,134.7,127.7,,29.0,
Anquan Boldin,BAL,WR,32.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,112.0,65.0,921.0,14.17,4.0,1.0,,118.0,183.0,186.4,150.9,,29.0,
Sidney Rice,SEA,WR,26.0,16.0,16.0,1.0,2.0,25.0,0.0,0.0,2.0,6.0,3.0,0.0,82.0,50.0,748.0,14.96,7.0,,,118.0,168.0,171.4,143.4,,30.0,
Mark Sanchez,NYJ,QB,26.0,15.0,15.0,246.0,453.0,2883.0,13.0,18.0,22.0,28.0,1.27,0.0,0.0,0.0,0.0,,0.0,,,118.0,118.0,147.1,136.1,,30.0,
Danny Woodhead,NWE,RB,27.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,76.0,301.0,3.96,4.0,55.0,40.0,446.0,11.15,3.0,,,117.0,157.0,162.7,136.7,,25.0,
Denarius Moore,OAK,WR,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,114.0,51.0,741.0,14.53,7.0,,,116.0,167.0,169.6,141.1,,32.0,
Golden Tate,SEA,WR,24.0,15.0,15.0,1.0,1.0,23.0,1.0,0.0,3.0,20.0,6.67,0.0,68.0,45.0,688.0,15.29,7.0,,,116.0,161.0,164.7,138.2,,31.0,
Vick Ballard,IND,RB,22.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,211.0,814.0,3.86,2.0,27.0,17.0,152.0,8.94,1.0,,,115.0,132.0,137.6,123.1,,26.0,
Brandon Lloyd,NWE,WR,31.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,131.0,74.0,911.0,12.31,4.0,,,115.0,189.0,198.1,158.1,,33.0,
Chad Henne,JAX,QB,27.0,10.0,6.0,166.0,308.0,2084.0,11.0,11.0,19.0,64.0,3.37,1.0,0.0,1.0,-6.0,-6.0,0.0,,,113.0,114.0,130.2,124.7,,31.0,
Willis McGahee,DEN,RB,31.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,167.0,731.0,4.38,4.0,33.0,26.0,221.0,8.5,0.0,1.0,,113.0,139.0,149.2,126.2,,27.0,
Brian Hartline,MIA,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,131.0,74.0,1083.0,14.64,1.0,,,112.0,186.0,190.3,149.3,,34.0,
Malcom Floyd,SDG,WR,31.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,85.0,56.0,814.0,14.54,5.0,,,111.0,167.0,170.4,139.4,,35.0,
Darren McFadden,OAK,RB,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,216.0,707.0,3.27,2.0,63.0,42.0,258.0,6.14,1.0,,,111.0,153.0,160.5,131.5,,29.0,
DeMarco Murray,DAL,RB,24.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,161.0,663.0,4.12,4.0,42.0,35.0,251.0,7.17,0.0,,,111.0,146.0,154.4,128.9,,28.0,
Josh Gordon,CLE,WR,21.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,96.0,50.0,805.0,16.1,5.0,,,109.0,159.0,162.5,133.5,,37.0,
Andre Roberts,ARI,WR,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,7.25,0.0,114.0,64.0,759.0,11.86,5.0,,,109.0,173.0,175.8,140.8,,36.0,
Danario Alexander,SDG,WR,26.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,62.0,37.0,658.0,17.78,7.0,,,108.0,145.0,147.8,126.3,,38.0,
Antonio Brown,PIT,WR,24.0,13.0,10.0,0.0,2.0,0.0,0.0,1.0,7.0,24.0,3.43,0.0,106.0,66.0,787.0,11.92,5.0,,,105.0,171.0,177.1,139.1,,39.0,
Santana Moss,WAS,WR,33.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,4.67,0.0,62.0,41.0,573.0,13.98,8.0,,,105.0,146.0,149.7,125.2,,40.0,
Joique Bell,DET,RB,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,414.0,5.05,3.0,68.0,52.0,485.0,9.33,0.0,,,104.0,156.0,163.9,129.9,,30.0,
Larry Fitzgerald,ARI,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,156.0,71.0,798.0,11.24,4.0,,,104.0,175.0,177.8,139.3,,41.0,
Brandon Gibson,STL,WR,25.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,82.0,51.0,691.0,13.55,5.0,,,99.0,150.0,153.1,124.6,,43.0,
Percy Harvin,MIN,WR,24.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,96.0,4.36,1.0,85.0,62.0,677.0,10.92,3.0,,,99.0,161.0,171.3,136.3,,42.0,
Nate Washington,TEN,WR,29.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,89.0,46.0,746.0,16.22,4.0,,,99.0,145.0,147.6,121.6,,44.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
