Rk,Player,Team,Pos,FGM,FG Att,FG_Pct,Blk,Lng,1-19_A-M,1-19_Pct,20-29_A-M,20-29_Pct,30-39_A-M,30-39_Pct,40-49_A-M,40-49_Pct,50+_A-M,50+_Pct,XPM,XP Att,XP_Pct,Blk,YEAR
32,Josh Brown,CIN,K,11,12,92,0,52,0-0,0,3-3,100,4-4,100,3-3,100,2-1,50,8,8,100,0,2012.0
33,Graham Gano,CAR,K,9,11,82,0,51,0-0,0,3-3,100,3-3,100,3-2,67,2-1,50,20,21,95,0,2012.0
34,Justin Medlock,CAR,K,7,10,70,1,45,0-0,0,2-2,100,3-3,100,4-2,50,1-0,0,23,23,100,0,2012.0
35,Olindo Mare,CHI,K,6,8,75,1,40,0-0,0,3-2,67,3-3,100,2-1,50,0-0,0,7,7,100,0,2012.0
36,Nate Kaeding,MIA,K,1,3,33,1,45,0-0,0,0-0,0,0-0,0,3-1,33,0-0,0,3,3,100,0,2012.0
1,Stephen Gostkowski,NE,K,38,41,93,0,54,1-1,100,8-8,100,13-13,100,13-11,85,6-5,83,44,44,100,0,2013.0
1,Justin Tucker,BAL,K,38,41,93,0,61,0-0,0,10-10,100,13-12,92,11-10,91,7-6,86,26,26,100,0,2013.0
3,Adam Vinatieri,IND,K,35,40,88,1,52,0-0,0,6-6,100,11-10,91,17-15,88,6-4,67,34,34,100,0,2013.0
4,Nick Novak,SD,K,34,37,92,2,50,1-1,100,9-9,100,16-13,81,9-9,100,2-2,100,42,42,100,0,2013.0
5,Dan Carpenter,BUF,K,33,36,92,0,55,0-0,0,13-13,100,6-6,100,11-10,91,6-4,67,32,32,100,0,2013.0
5,Mason Crosby,GB,K,33,37,89,0,57,1-1,100,13-13,100,8-8,100,8-6,75,7-5,71,42,42,100,0,2013.0
5,Nick Folk,NYJ,K,33,36,92,0,54,0-0,0,8-8,100,11-10,91,14-12,86,3-3,100,27,27,100,0,2013.0
5,Stephen Hauschka,SEA,K,33,35,94,1,53,0-0,0,11-10,91,9-9,100,12-11,92,3-3,100,44,44,100,0,2013.0
9,Phil Dawson,SF,K,32,36,89,0,56,0-0,0,13-12,92,6-6,100,11-10,91,6-4,67,44,44,100,0,2013.0
10,Jay Feely,ARI,K,30,36,83,1,52,0-0,0,11-9,82,8-7,88,12-11,92,5-3,60,37,37,100,0,2013.0
10,Shaun Suisham,PIT,K,30,32,94,0,48,0-0,0,9-9,100,15-13,87,8-8,100,0-0,0,39,39,100,0,2013.0
12,Dan Bailey,DAL,K,28,30,93,0,53,2-2,100,2-2,100,9-8,89,10-10,100,7-6,86,47,47,100,0,2013.0
13,Randy Bullock,HOU,K,26,35,74,1,51,1-1,100,7-7,100,5-5,100,17-12,71,5-1,20,26,26,100,0,2013.0
13,Robbie Gould,CHI,K,26,29,90,0,58,0-0,0,11-11,100,7-6,86,7-6,86,4-3,75,45,46,98,1,2013.0
13,Caleb Sturgis,MIA,K,26,34,76,1,54,1-1,100,4-4,100,12-10,83,10-8,80,7-3,43,33,33,100,0,2013.0
13,Blair Walsh,MIN,K,26,30,87,0,54,0-0,0,7-7,100,12-12,100,6-5,83,5-2,40,43,44,98,0,2013.0
13,Greg Zuerlein,STL,K,26,28,93,0,54,0-0,0,7-7,100,10-10,100,9-8,89,2-1,50,34,34,100,0,2013.0
18,Rob Bironas,TEN,K,25,29,86,0,55,0-0,0,10-10,100,9-8,89,7-5,71,3-2,67,41,41,100,0,2013.0
18,Matt Prater,DEN,K,25,26,96,0,64,2-2,100,4-4,100,5-5,100,8-8,100,7-6,86,75,75,100,0,2013.0
20,Matt Bryant,ATL,K,24,27,89,0,53,0-0,0,9-9,100,8-7,88,5-5,100,5-3,60,39,39,100,0,2013.0
20,Graham Gano,CAR,K,24,27,89,1,55,0-0,0,9-9,100,5-4,80,7-5,71,6-6,100,42,42,100,0,2013.0
22,Josh Brown,NYG,K,23,26,88,0,52,0-0,0,8-8,100,8-7,88,8-7,88,2-1,50,31,31,100,0,2013.0
22,Alex Henery,PHI,K,23,28,82,0,51,0-0,0,8-8,100,8-7,88,10-7,70,2-1,50,45,45,100,0,2013.0
22,Rian Lindell,TB,K,23,29,79,0,54,0-0,0,3-3,100,14-12,86,6-4,67,6-4,67,31,31,100,0,2013.0
22,Josh Scobee,JAC,K,23,25,92,1,55,0-0,0,3-3,100,12-12,100,5-4,80,5-4,80,22,23,96,1,2013.0
26,Garrett Hartley,NO,K,22,30,73,1,55,2-2,100,6-5,83,8-5,62,13-9,69,1-1,100,41,41,100,0,2013.0
26,Ryan Succop,KC,K,22,28,79,1,51,0-0,0,6-6,100,10-9,90,8-6,75,4-1,25,52,52,100,0,2013.0
28,Billy Cundiff,CLE,K,21,26,81,1,51,0-0,0,7-7,100,6-5,83,9-7,78,4-2,50,32,32,100,0,2013.0
28,Sebastian Janikowski,OAK,K,21,30,70,0,53,0-0,0,6-6,100,6-4,67,11-8,73,7-3,43,37,37,100,0,2013.0
30,David Akers,DET,K,19,24,79,2,53,1-1,100,5-5,100,8-6,75,7-4,57,3-3,100,42,43,98,1,2013.0
